epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1342.77,0.51222,2.73577,0.95634,0.52316,0.80497,0.67004,0.66621,0.2044,1.4947,0.77434,0.000237217,0.000237217,0.000237217
2,2037.17,0.27495,1.54875,0.83254,0.66424,0.85134,0.83382,0.83003,0.19333,1.03345,0.77339,0.000459535,0.000459535,0.000459535
3,2718.07,0.25296,1.2578,0.83136,0.86889,0.86124,0.94377,0.94377,0.17854,0.82762,0.7689,0.000666145,0.000666145,0.000666145
4,3697.62,0.21813,1.05355,0.82093,0.85274,0.90333,0.95234,0.95194,0.13221,0.73598,0.76306,0.000643314,0.000643314,0.000643314
5,4651.24,0.19841,0.93357,0.81981,0.95648,0.93989,0.98335,0.98321,0.12792,0.50182,0.76358,0.000619752,0.000619752,0.000619752
6,5321.79,0.18277,0.86166,0.81986,0.95251,0.97505,0.98909,0.98909,0.11456,0.43048,0.76317,0.00059619,0.00059619,0.00059619
7,5978.89,0.17104,0.76017,0.81916,0.96004,0.96565,0.98396,0.98259,0.10333,0.41592,0.76107,0.000572628,0.000572628,0.000572628
8,6619.43,0.15937,0.70243,0.81323,0.98382,0.99399,0.9939,0.9939,0.09813,0.31544,0.76041,0.000549066,0.000549066,0.000549066
9,7299.24,0.15384,0.64591,0.81385,0.97403,0.97191,0.99279,0.99249,0.09379,0.31788,0.7597,0.000525504,0.000525504,0.000525504
10,7910.04,0.14953,0.64107,0.81265,0.98306,0.9736,0.99254,0.99254,0.08112,0.29661,0.75796,0.000501942,0.000501942,0.000501942
11,8604.55,0.14239,0.58685,0.81133,0.99286,0.98814,0.9949,0.9949,0.08247,0.27205,0.75864,0.00047838,0.00047838,0.00047838
12,9277.23,0.13513,0.5583,0.81538,0.98488,0.98371,0.99447,0.99447,0.08826,0.23732,0.75825,0.000454818,0.000454818,0.000454818
13,9842.92,0.12872,0.54189,0.81201,0.98696,0.99211,0.9949,0.9949,0.07312,0.20792,0.75651,0.000431256,0.000431256,0.000431256
14,10633.2,0.12935,0.49981,0.81084,0.98945,0.98758,0.99453,0.99453,0.07178,0.19637,0.75534,0.000407694,0.000407694,0.000407694
15,11282.8,0.12257,0.49365,0.81191,0.98929,0.98483,0.99359,0.99359,0.07345,0.20879,0.75593,0.000384132,0.000384132,0.000384132
16,11906.5,0.1184,0.4831,0.81258,0.99397,0.98883,0.995,0.995,0.06889,0.17951,0.75598,0.00036057,0.00036057,0.00036057
17,12575.1,0.11264,0.43818,0.809,0.99522,0.99467,0.995,0.995,0.06674,0.16779,0.755,0.000337008,0.000337008,0.000337008
18,13174.3,0.11197,0.42874,0.81396,0.99301,0.99085,0.995,0.995,0.06313,0.16632,0.75501,0.000313446,0.000313446,0.000313446
19,13794.6,0.11044,0.42773,0.8108,0.99621,0.99405,0.995,0.995,0.0589,0.14551,0.75413,0.000289884,0.000289884,0.000289884
20,14592.1,0.10425,0.39808,0.80999,0.99385,0.99467,0.9949,0.9949,0.05896,0.14685,0.754,0.000266322,0.000266322,0.000266322
21,15195,0.09241,0.1941,0.76834,0.99179,0.98781,0.99407,0.99407,0.06926,0.16684,0.75478,0.00024276,0.00024276,0.00024276
22,15798.6,0.09253,0.19127,0.76945,0.9958,0.9931,0.9949,0.9949,0.06214,0.1392,0.75386,0.000219198,0.000219198,0.000219198
23,16469.4,0.08192,0.16373,0.76568,0.99743,0.99737,0.995,0.995,0.05518,0.12514,0.75322,0.000195636,0.000195636,0.000195636
24,17244.7,0.07742,0.15728,0.76698,0.99809,1,0.995,0.995,0.05267,0.11496,0.75328,0.000172074,0.000172074,0.000172074
25,18096.3,0.07375,0.14741,0.76879,0.99706,1,0.995,0.995,0.04898,0.11365,0.75327,0.000148512,0.000148512,0.000148512
26,18819.3,0.07005,0.13542,0.76372,0.99799,1,0.995,0.995,0.04561,0.09765,0.75281,0.00012495,0.00012495,0.00012495
