epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.117,0.46032,3.26685,1.07411,0.64183,0.12141,0.3508,0.33925,0.18698,2.86252,0.52825,0.00023562,0.00023562,0.00023562
2,600.023,0.25724,2.49345,0.95566,0.58932,0.74832,0.65368,0.64497,0.20882,1.69782,0.50875,0.000457991,0.000457991,0.000457991
3,934.877,0.25811,1.98318,0.95858,0.54023,0.81999,0.78017,0.75154,0.21715,2.1511,0.50901,0.000664653,0.000664653,0.000664653
4,1387.81,0.22988,1.77096,0.94426,0.69367,0.86484,0.84446,0.84446,0.18459,1.21176,0.49207,0.000643314,0.000643314,0.000643314
5,1799.4,0.20748,1.59032,0.9254,0.80701,0.84212,0.86196,0.85553,0.18552,1.01968,0.46632,0.000619752,0.000619752,0.000619752
6,1978.25,0.18803,1.45796,0.91901,0.80002,0.86812,0.90366,0.90252,0.17749,0.89178,0.46924,0.00059619,0.00059619,0.00059619
7,2168,0.177,1.3117,0.91242,0.75986,0.92196,0.91818,0.91664,0.13092,0.7531,0.45104,0.000572628,0.000572628,0.000572628
8,2362.45,0.16703,1.26517,0.90216,0.84608,0.90458,0.94547,0.94547,0.11456,0.72132,0.44396,0.000549066,0.000549066,0.000549066
9,2597.13,0.1586,1.25826,0.90263,0.81343,0.93752,0.94609,0.94609,0.14677,0.93145,0.46265,0.000525504,0.000525504,0.000525504
10,2818.42,0.15247,1.14268,0.89789,0.90486,0.94117,0.96559,0.95376,0.19598,0.76974,0.48186,0.000501942,0.000501942,0.000501942
11,3022.51,0.1575,1.13138,0.89868,0.8175,0.92186,0.96102,0.96102,0.13363,0.72442,0.45313,0.00047838,0.00047838,0.00047838
12,3260.29,0.13864,1.06612,0.898,0.87133,0.93308,0.96657,0.96657,0.11842,0.64786,0.44906,0.000454818,0.000454818,0.000454818
13,3468.02,0.13411,0.99888,0.89625,0.91023,0.95878,0.97189,0.96814,0.11466,0.58802,0.44481,0.000431256,0.000431256,0.000431256
14,3676.03,0.12811,0.95397,0.89488,0.8952,0.96334,0.96822,0.96822,0.09657,0.55651,0.43736,0.000407694,0.000407694,0.000407694
15,3890.14,0.12475,0.91018,0.89382,0.93909,0.97217,0.968,0.968,0.12348,0.4836,0.43948,0.000384132,0.000384132,0.000384132
16,4098.75,0.12138,0.86796,0.8894,0.90947,0.98082,0.98409,0.98409,0.09033,0.46709,0.42969,0.00036057,0.00036057,0.00036057
17,4303.53,0.11833,0.87087,0.88334,0.95891,0.97153,0.97889,0.97889,0.10243,0.42604,0.43794,0.000337008,0.000337008,0.000337008
18,4506.06,0.11447,0.83466,0.88639,0.93555,0.90804,0.98057,0.98057,0.10163,0.48038,0.43375,0.000313446,0.000313446,0.000313446
19,4703.66,0.10791,0.8319,0.88674,0.9776,0.96365,0.98251,0.98251,0.10703,0.40571,0.43425,0.000289884,0.000289884,0.000289884
20,4899.24,0.10481,0.77792,0.88956,0.95686,0.97431,0.98663,0.98663,0.12421,0.42446,0.44817,0.000266322,0.000266322,0.000266322
21,5098.45,0.09938,0.56348,0.87355,0.95736,0.96,0.97291,0.97291,0.12807,0.54466,0.42744,0.00024276,0.00024276,0.00024276
22,5297.49,0.09157,0.44643,0.86508,0.93934,0.94,0.98358,0.98358,0.10658,0.68615,0.41914,0.000219198,0.000219198,0.000219198
23,5495.19,0.08657,0.40977,0.86227,0.96495,0.97813,0.97917,0.97917,0.09784,0.43906,0.42092,0.000195636,0.000195636,0.000195636
24,5702.41,0.07748,0.37229,0.85978,0.98235,0.9779,0.98906,0.98906,0.09844,0.37644,0.42259,0.000172074,0.000172074,0.000172074
25,5922.32,0.06878,0.33271,0.86602,0.97557,0.98,0.98197,0.98197,0.1076,0.41664,0.42796,0.000148512,0.000148512,0.000148512
26,6138.1,0.06623,0.31593,0.85942,0.97693,0.97799,0.98803,0.98803,0.11317,0.37068,0.43056,0.00012495,0.00012495,0.00012495
27,6347.97,0.06145,0.28979,0.85812,0.97689,0.98,0.98167,0.98167,0.09217,0.35226,0.42225,0.000101388,0.000101388,0.000101388
28,6596.2,0.05691,0.27863,0.85985,0.97704,0.98,0.98173,0.98173,0.10116,0.34054,0.42717,7.7826e-05,7.7826e-05,7.7826e-05
29,6796.73,0.05285,0.27346,0.8603,0.97749,0.98,0.98051,0.98051,0.08298,0.33159,0.42162,5.4264e-05,5.4264e-05,5.4264e-05
30,7005.86,0.05136,0.26009,0.85745,0.98106,0.98,0.98204,0.98204,0.08495,0.33076,0.4219,3.0702e-05,3.0702e-05,3.0702e-05
